,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
16,1169,0.6074903,0.00013197272,,,,,,,,,
17,1179,0.5830136,0.00013292971,,,,,,,,,
18,1189,0.583184,0.00013388676,,,,,,,,,
19,1199,0.58984363,0.00013484381,,,,,,,,,
20,1209,0.5780888,0.0001358008,,,,,,,,,
21,1219,0.6037167,0.00013675785,,,,,,,,,
22,1229,0.5943099,0.0001377149,,,,,,,,,
23,1239,0.60398126,0.0001386719,,,,,,,,,
24,1249,0.5672592,0.00013962894,,,,,,,,,
25,1259,0.577293,0.000140586,,,,,,,,,
26,1269,0.5899426,0.00014154299,,,,,,,,,
27,1279,0.5965054,0.00014250004,,,,,,,,,
28,1289,0.59646696,0.00014345709,,,,,,,,,
29,1299,0.578658,0.00014441408,,,,,,,,,
30,1309,0.60869753,0.00014537113,,,,,,,,,
31,1319,0.58024716,0.00014632818,,,,,,,,,
32,1329,0.59095514,0.00014728517,,,,,,,,,
33,1339,0.6010684,0.00014824222,,,,,,,,,
34,1349,0.5812284,0.00014919927,,,,,,,,,
35,1359,0.5919697,0.00015015627,,,,,,,,,
36,1369,0.5881264,0.00015111332,,,,,,,,,
37,1379,0.60198784,0.00015207037,,,,,,,,,
38,1389,0.5775595,0.00015302736,,,,,,,,,
39,1399,0.5860655,0.00015398441,,,,,,,,,
40,1409,0.58531606,0.00015494146,,,,,,,,,
41,1419,0.5963105,0.00015589845,,,,,,,,,
42,1429,0.5755036,0.0001568555,,,,,,,,,
43,1439,0.5758574,0.00015781255,,,,,,,,,
44,1449,0.5987953,0.00015876954,,,,,,,,,
45,1459,0.5918027,0.0001597266,,,,,,,,,
46,1469,0.5999346,0.00016068364,,,,,,,,,
47,1479,0.5764092,0.00016164064,,,,,,,,,
48,1489,0.59703356,0.00016259769,,,,,,,,,
49,1499,0.58386016,0.00016355474,,,,,,,,,
50,1509,0.58611035,0.00016451173,,,,,,,,,
51,1519,0.58182204,0.00016546878,,,,,,,,,
52,1529,0.58895206,0.00016642583,,,,,,,,,
53,1539,0.581249,0.00016738282,,,,,,,,,
54,1549,0.5899354,0.00016833987,,,,,,,,,
55,1559,0.5838407,0.00016929692,,,,,,,,,
56,1569,0.6034551,0.00017025392,,,,,,,,,
57,1579,0.57856566,0.00017121097,,,,,,,,,
58,1589,0.5961971,0.00017216802,,,,,,,,,
59,1599,0.5928823,0.00017312507,,,,,,,,,
60,1609,0.5751481,0.00017408206,,,,,,,,,
61,1619,0.58562607,0.00017503911,,,,,,,,,
62,1629,0.59311676,0.00017599616,,,,,,,,,
63,1639,0.57380486,0.00017695315,,,,,,,,,
64,1649,0.5994172,0.0001779102,,,,,,,,,
65,1659,0.6012443,0.00017886725,,,,,,,,,
66,1669,0.59227765,0.00017982424,,,,,,,,,
67,1679,0.5889807,0.0001807813,,,,,,,,,
68,1689,0.588543,0.00018173835,,,,,,,,,
69,1699,0.58899903,0.00018269534,,,,,,,,,
70,1709,0.58689046,0.00018365239,,,,,,,,,
71,1719,0.6005236,0.00018460944,,,,,,,,,
72,1729,0.5843098,0.00018556643,,,,,,,,,
73,1739,0.5771296,0.00018652348,,,,,,,,,
74,1749,0.58990496,0.00018748053,,,,,,,,,
75,1759,0.6052041,0.00018843752,,,,,,,,,
76,1769,0.57388985,0.00018939457,,,,,,,,,
77,1779,0.58233607,0.00019035162,,,,,,,,,
78,1789,0.58377355,0.00019130862,,,,,,,,,
79,1799,0.5785899,0.00019226567,,,,,,,,,
80,1809,0.5798984,0.00019322272,,,,,,,,,
81,1819,0.5866038,0.00019417971,,,,,,,,,
82,1829,0.5934723,0.00019513676,,,,,,,,,
83,1839,0.5928988,0.00019609381,,,,,,,,,
84,1849,0.5843078,0.0001970508,,,,,,,,,
85,1859,0.5808537,0.00019800785,,,,,,,,,
86,1869,0.5815499,0.0001989649,,,,,,,,,
87,1879,0.5807597,0.0001999219,,,,,,,,,
88,1889,0.5790924,0.00020087895,,,,,,,,,
89,1899,0.5950185,0.000201836,,,,,,,,,
90,1909,0.5760519,0.00020279299,,,,,,,,,
91,1919,0.5947844,0.00020375004,,,,,,,,,
92,1929,0.58847034,0.00020470709,,,,,,,,,
93,1939,0.59512365,0.00020566408,,,,,,,,,
94,1949,0.59223455,0.00020662113,,,,,,,,,
95,1959,0.5907513,0.00020757818,,,,,,,,,
96,1969,0.59391093,0.00020853517,,,,,,,,,
97,1979,0.5840872,0.00020949222,,,,,,,,,
98,1989,0.5763308,0.00021044927,,,,,,,,,
0,1999,0.5798253,0.00021140627,,,,,,,,,
1,2009,0.58600235,0.00021236332,,,,,,,,,
2,2019,0.57738096,0.00021332037,,,,,,,,,
3,2029,0.5930325,0.00021427736,,,,,,,,,
4,2039,0.58475995,0.00021523441,,,,,,,,,
5,2049,0.5838659,0.00021619146,,,,,,,,,
6,2059,0.61138844,0.00021714845,,,,,,,,,
7,2069,0.5851211,0.0002181055,,,,,,,,,
8,2079,0.57441676,0.00021906255,,,,,,,,,
9,2089,0.58511823,0.00022001954,,,,,,,,,
10,2099,0.58085,0.0002209766,,,,,,,,,
11,2109,0.59397167,0.00022193365,,,,,,,,,
12,2119,0.56604075,0.00022289064,,,,,,,,,
13,2129,0.587173,0.00022384769,,,,,,,,,
14,2139,0.58706945,0.00022480474,,,,,,,,,
15,2149,0.5820156,0.00022576173,,,,,,,,,
16,2159,0.5818976,0.00022671878,,,,,,,,,
17,2169,0.5926667,0.00022767583,,,,,,,,,
18,2179,0.61180776,0.00022863282,,,,,,,,,
19,2189,0.56722283,0.00022958987,,,,,,,,,
20,2199,0.5815629,0.00023054692,,,,,,,,,
21,2209,0.5936465,0.00023150392,,,,,,,,,
22,2219,0.5801264,0.00023246097,,,,,,,,,
23,2229,0.58811057,0.00023341802,,,,,,,,,
24,2239,0.5908865,0.00023437501,,,,,,,,,
25,2249,0.5875772,0.00023533206,,,,,,,,,
26,2259,0.5936272,0.00023628911,,,,,,,,,
27,2269,0.56822455,0.00023724616,,,,,,,,,
28,2279,0.59167826,0.00023820315,,,,,,,,,
29,2289,0.5745946,0.0002391602,,,,,,,,,
30,2299,0.5761528,0.00024011725,,,,,,,,,
31,2309,0.58907205,0.00024107425,,,,,,,,,
32,2319,0.5966444,0.0002420313,,,,,,,,,
33,2329,0.5940538,0.00024298835,,,,,,,,,
34,2339,0.5920391,0.00024394534,,,,,,,,,
35,2349,0.58524156,0.0002449024,,,,,,,,,
36,2359,0.59577006,0.00024585944,,,,,,,,,
37,2369,0.5865619,0.00024681643,,,,,,,,,
38,2379,0.6051487,0.00024777348,,,,,,,,,
39,2389,0.58453476,0.00024873053,,,,,,,,,
40,2399,0.5932385,0.00024968752,,,,,,,,,
41,2409,0.57452077,0.00025064457,,,,,,,,,
42,2419,0.59067106,0.00025160162,,,,,,,,,
43,2429,0.5884191,0.00025255862,,,,,,,,,
44,2439,0.58025336,0.00025351567,,,,,,,,,
45,2449,0.5828346,0.00025447272,,,,,,,,,
46,2459,0.58552194,0.0002554297,,,,,,,,,
47,2469,0.58128667,0.00025638676,,,,,,,,,
48,2479,0.59988046,0.0002573438,,,,,,,,,
49,2489,0.57457376,0.0002583008,,,,,,,,,
50,2499,0.5646499,0.00025925785,,,,,,,,,
51,2509,0.5970369,0.0002602149,,,,,,,,,
52,2519,0.56798685,0.0002611719,,,,,,,,,
53,2529,0.57390857,0.00026212895,,,,,,,,,
54,2539,0.5840383,0.000263086,,,,,,,,,
55,2549,0.58254963,0.000264043,,,,,,,,,
56,2559,0.5924048,0.00026500004,,,,,,,,,
57,2569,0.57432306,0.0002659571,,,,,,,,,
58,2579,0.58784896,0.00026691408,,,,,,,,,
59,2589,0.5843227,0.00026787113,,,,,,,,,
