,step,data_seen,loss,lr
0,30519,976640,1.1240119,0.00031403854
1,30529,976960,0.9772185,0.00031413493
2,30539,977280,0.94392323,0.00031423126
3,30549,977600,0.893207,0.0003143276
4,30559,977920,0.93113494,0.00031442393
5,30569,978240,0.8841054,0.00031452032
6,30579,978560,0.8727137,0.0003146166
7,30589,978880,0.84432685,0.000314713
8,30599,979200,0.86102927,0.00031480938
9,30609,979520,0.8350339,0.0003149056
10,30619,979840,0.8512573,0.000315002
11,30629,980160,0.86521304,0.00031509838
12,30639,980480,0.83641505,0.00031519466
13,30649,980800,0.8420122,0.00031529105
14,30659,981120,0.8470588,0.00031538738
15,30669,981440,0.82027173,0.00031548372
16,30679,981760,0.84718144,0.00031558005
17,30689,982080,0.84523815,0.00031567644
18,30699,982400,0.7977317,0.00031577278
19,30709,982720,0.8457823,0.00031586905
20,30719,983040,0.839072,0.00031596544
21,30729,983360,0.81527454,0.00031606178
22,30739,983680,0.830993,0.0003161581
23,30749,984000,0.8236721,0.0003162545
24,30759,984320,0.84910405,0.00031635078
25,30769,984640,0.838089,0.0003164471
26,30779,984960,0.8176056,0.0003165435
27,30789,985280,0.8197044,0.00031663984
28,30799,985600,0.8103883,0.00031673617
29,30809,985920,0.8440778,0.0003168325
30,30819,986240,0.86075914,0.00031692884
31,30829,986560,0.7952502,0.00031702517
32,30839,986880,0.78655076,0.00031712156
33,30849,987200,0.8853801,0.0003172179
34,30859,987520,0.83331484,0.00031731423
35,30869,987840,0.8411469,0.00031741057
36,30879,988160,0.78686285,0.0003175069
37,30889,988480,0.81868345,0.00031760323
38,30899,988800,0.84699625,0.00031769963
39,30909,989120,0.7823022,0.00031779602
40,30919,989440,0.79410946,0.00031789223
41,30929,989760,0.81763995,0.00031798863
42,30939,990080,0.76216274,0.00031808502
43,30949,990400,0.783025,0.0003181813
44,30959,990720,0.8080542,0.00031827769
45,30969,991040,0.8197199,0.00031837402
46,30979,991360,0.84157777,0.0003184703
47,30989,991680,0.7998521,0.0003185667
48,30999,992000,0.79456234,0.00031866308
49,31009,992320,0.8010571,0.0003187594
50,31019,992640,0.7832252,0.0003188557
51,31029,992960,0.82771564,0.00031895208
