,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
15,1159,0.52220994,0.00013101567,,,,,,,,,
16,1169,0.538738,0.00013197272,,,,,,,,,
17,1179,0.5412431,0.00013292971,,,,,,,,,
18,1189,0.5513107,0.00013388676,,,,,,,,,
19,1199,0.54269874,0.00013484381,,,,,,,,,
20,1209,0.5317236,0.0001358008,,,,,,,,,
21,1219,0.5457008,0.00013675785,,,,,,,,,
22,1229,0.511998,0.0001377149,,,,,,,,,
23,1239,0.5428228,0.0001386719,,,,,,,,,
24,1249,0.5148511,0.00013962894,,,,,,,,,
25,1259,0.5243484,0.000140586,,,,,,,,,
26,1269,0.5116123,0.00014154299,,,,,,,,,
27,1279,0.4969812,0.00014250004,,,,,,,,,
28,1289,0.5221493,0.00014345709,,,,,,,,,
29,1299,0.4979143,0.00014441408,,,,,,,,,
30,1309,0.5255704,0.00014537113,,,,,,,,,
31,1319,0.49521643,0.00014632818,,,,,,,,,
32,1329,0.51595926,0.00014728517,,,,,,,,,
33,1339,0.50100815,0.00014824222,,,,,,,,,
34,1349,0.51600444,0.00014919927,,,,,,,,,
35,1359,0.4878019,0.00015015627,,,,,,,,,
36,1369,0.5230666,0.00015111332,,,,,,,,,
37,1379,0.5417754,0.00015207037,,,,,,,,,
38,1389,0.5184518,0.00015302736,,,,,,,,,
39,1399,0.5244479,0.00015398441,,,,,,,,,
40,1409,0.48083302,0.00015494146,,,,,,,,,
41,1419,0.5170918,0.00015589845,,,,,,,,,
42,1429,0.51176244,0.0001568555,,,,,,,,,
43,1439,0.50612414,0.00015781255,,,,,,,,,
44,1449,0.49218136,0.00015876954,,,,,,,,,
45,1459,0.505298,0.0001597266,,,,,,,,,
46,1469,0.5104744,0.00016068364,,,,,,,,,
47,1479,0.49660587,0.00016164064,,,,,,,,,
48,1489,0.53282344,0.00016259769,,,,,,,,,
49,1499,0.49892694,0.00016355474,,,,,,,,,
50,1509,0.47305378,0.00016451173,,,,,,,,,
51,1519,0.49803358,0.00016546878,,,,,,,,,
52,1529,0.47881436,0.00016642583,,,,,,,,,
53,1539,0.47430834,0.00016738282,,,,,,,,,
54,1549,0.47665262,0.00016833987,,,,,,,,,
55,1559,0.47373173,0.00016929692,,,,,,,,,
56,1569,0.5026331,0.00017025392,,,,,,,,,
57,1579,0.48850685,0.00017121097,,,,,,,,,
58,1589,0.52085,0.00017216802,,,,,,,,,
59,1599,0.47398877,0.00017312507,,,,,,,,,
60,1609,0.49494213,0.00017408206,,,,,,,,,
61,1619,0.50585294,0.00017503911,,,,,,,,,
62,1629,0.46378145,0.00017599616,,,,,,,,,
63,1639,0.48095614,0.00017695315,,,,,,,,,
64,1649,0.48106217,0.0001779102,,,,,,,,,
65,1659,0.4447595,0.00017886725,,,,,,,,,
66,1669,0.46063673,0.00017982424,,,,,,,,,
67,1679,0.45736492,0.0001807813,,,,,,,,,
68,1689,0.45387393,0.00018173835,,,,,,,,,
69,1699,0.4419807,0.00018269534,,,,,,,,,
