,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
15,1159,0.58505535,0.00013101567,,,,,,,,,
16,1169,0.5769636,0.00013197272,,,,,,,,,
17,1179,0.5850789,0.00013292971,,,,,,,,,
18,1189,0.58155525,0.00013388676,,,,,,,,,
19,1199,0.5861443,0.00013484381,,,,,,,,,
20,1209,0.5754701,0.0001358008,,,,,,,,,
21,1219,0.57026994,0.00013675785,,,,,,,,,
22,1229,0.5857972,0.0001377149,,,,,,,,,
23,1239,0.576472,0.0001386719,,,,,,,,,
24,1249,0.56540394,0.00013962894,,,,,,,,,
25,1259,0.5464711,0.000140586,,,,,,,,,
26,1269,0.58059764,0.00014154299,,,,,,,,,
27,1279,0.5696874,0.00014250004,,,,,,,,,
28,1289,0.5658371,0.00014345709,,,,,,,,,
29,1299,0.57439804,0.00014441408,,,,,,,,,
30,1309,0.57419443,0.00014537113,,,,,,,,,
31,1319,0.5753299,0.00014632818,,,,,,,,,
32,1329,0.59214795,0.00014728517,,,,,,,,,
33,1339,0.5713726,0.00014824222,,,,,,,,,
34,1349,0.57276314,0.00014919927,,,,,,,,,
35,1359,0.55587864,0.00015015627,,,,,,,,,
36,1369,0.55581194,0.00015111332,,,,,,,,,
37,1379,0.5757222,0.00015207037,,,,,,,,,
38,1389,0.5964622,0.00015302736,,,,,,,,,
39,1399,0.58668125,0.00015398441,,,,,,,,,
40,1409,0.5604964,0.00015494146,,,,,,,,,
41,1419,0.5768614,0.00015589845,,,,,,,,,
42,1429,0.56090033,0.0001568555,,,,,,,,,
43,1439,0.5719545,0.00015781255,,,,,,,,,
44,1449,0.5792899,0.00015876954,,,,,,,,,
45,1459,0.56458616,0.0001597266,,,,,,,,,
46,1469,0.58005416,0.00016068364,,,,,,,,,
47,1479,0.592781,0.00016164064,,,,,,,,,
48,1489,0.5749735,0.00016259769,,,,,,,,,
49,1499,0.56419367,0.00016355474,,,,,,,,,
50,1509,0.57758546,0.00016451173,,,,,,,,,
51,1519,0.6099525,0.00016546878,,,,,,,,,
52,1529,0.54540676,0.00016642583,,,,,,,,,
53,1539,0.57284164,0.00016738282,,,,,,,,,
54,1549,0.5684434,0.00016833987,,,,,,,,,
55,1559,0.5534717,0.00016929692,,,,,,,,,
56,1569,0.5849544,0.00017025392,,,,,,,,,
57,1579,0.55347073,0.00017121097,,,,,,,,,
58,1589,0.5727334,0.00017216802,,,,,,,,,
59,1599,0.58300865,0.00017312507,,,,,,,,,
60,1609,0.5955417,0.00017408206,,,,,,,,,
61,1619,0.5846412,0.00017503911,,,,,,,,,
62,1629,0.57822907,0.00017599616,,,,,,,,,
63,1639,0.5613851,0.00017695315,,,,,,,,,
64,1649,0.57703143,0.0001779102,,,,,,,,,
65,1659,0.5676636,0.00017886725,,,,,,,,,
66,1669,0.5782534,0.00017982424,,,,,,,,,
67,1679,0.54771245,0.0001807813,,,,,,,,,
68,1689,0.55416524,0.00018173835,,,,,,,,,
69,1699,0.57859737,0.00018269534,,,,,,,,,
70,1709,0.5718415,0.00018365239,,,,,,,,,
71,1719,0.5628009,0.00018460944,,,,,,,,,
72,1729,0.5807276,0.00018556643,,,,,,,,,
73,1739,0.57960176,0.00018652348,,,,,,,,,
74,1749,0.5696893,0.00018748053,,,,,,,,,
75,1759,0.5893892,0.00018843752,,,,,,,,,
76,1769,0.5609909,0.00018939457,,,,,,,,,
77,1779,0.58087146,0.00019035162,,,,,,,,,
78,1789,0.56555474,0.00019130862,,,,,,,,,
79,1799,0.5810598,0.00019226567,,,,,,,,,
80,1809,0.57043105,0.00019322272,,,,,,,,,
81,1819,0.56178117,0.00019417971,,,,,,,,,
82,1829,0.56254035,0.00019513676,,,,,,,,,
83,1839,0.571006,0.00019609381,,,,,,,,,
84,1849,0.55229557,0.0001970508,,,,,,,,,
85,1859,0.58941376,0.00019800785,,,,,,,,,
86,1869,0.5761024,0.0001989649,,,,,,,,,
87,1879,0.5918387,0.0001999219,,,,,,,,,
88,1889,0.56977564,0.00020087895,,,,,,,,,
89,1899,0.5736325,0.000201836,,,,,,,,,
90,1909,0.577052,0.00020279299,,,,,,,,,
91,1919,0.5744145,0.00020375004,,,,,,,,,
92,1929,0.5824108,0.00020470709,,,,,,,,,
93,1939,0.5673046,0.00020566408,,,,,,,,,
94,1949,0.5680907,0.00020662113,,,,,,,,,
95,1959,0.567629,0.00020757818,,,,,,,,,
96,1969,0.55816996,0.00020853517,,,,,,,,,
97,1979,0.5848588,0.00020949222,,,,,,,,,
98,1989,0.55468214,0.00021044927,,,,,,,,,
0,1999,0.593102,0.00021140627,,,,,,,,,
1,2009,0.566399,0.00021236332,,,,,,,,,
2,2019,0.57788104,0.00021332037,,,,,,,,,
3,2029,0.570706,0.00021427736,,,,,,,,,
4,2039,0.5660284,0.00021523441,,,,,,,,,
5,2049,0.572858,0.00021619146,,,,,,,,,
6,2059,0.56675553,0.00021714845,,,,,,,,,
7,2069,0.5752925,0.0002181055,,,,,,,,,
8,2079,0.5711185,0.00021906255,,,,,,,,,
9,2089,0.5627959,0.00022001954,,,,,,,,,
10,2099,0.55683386,0.0002209766,,,,,,,,,
11,2109,0.59008217,0.00022193365,,,,,,,,,
12,2119,0.5792616,0.00022289064,,,,,,,,,
13,2129,0.5793033,0.00022384769,,,,,,,,,
14,2139,0.5520866,0.00022480474,,,,,,,,,
15,2149,0.5630146,0.00022576173,,,,,,,,,
16,2159,0.56979084,0.00022671878,,,,,,,,,
17,2169,0.5643269,0.00022767583,,,,,,,,,
18,2179,0.54971564,0.00022863282,,,,,,,,,
19,2189,0.5621666,0.00022958987,,,,,,,,,
20,2199,0.5807462,0.00023054692,,,,,,,,,
21,2209,0.57020414,0.00023150392,,,,,,,,,
22,2219,0.56183636,0.00023246097,,,,,,,,,
23,2229,0.5507786,0.00023341802,,,,,,,,,
24,2239,0.5726464,0.00023437501,,,,,,,,,
25,2249,0.567117,0.00023533206,,,,,,,,,
26,2259,0.54782623,0.00023628911,,,,,,,,,
27,2269,0.5536753,0.00023724616,,,,,,,,,
28,2279,0.5406107,0.00023820315,,,,,,,,,
29,2289,0.5506011,0.0002391602,,,,,,,,,
30,2299,0.5540197,0.00024011725,,,,,,,,,
31,2309,0.55197257,0.00024107425,,,,,,,,,
32,2319,0.5362764,0.0002420313,,,,,,,,,
33,2329,0.53971076,0.00024298835,,,,,,,,,
34,2339,0.5512209,0.00024394534,,,,,,,,,
35,2349,0.5505987,0.0002449024,,,,,,,,,
36,2359,0.5352632,0.00024585944,,,,,,,,,
37,2369,0.5613693,0.00024681643,,,,,,,,,
38,2379,0.52697545,0.00024777348,,,,,,,,,
39,2389,0.5524823,0.00024873053,,,,,,,,,
40,2399,0.53516597,0.00024968752,,,,,,,,,
41,2409,0.5648526,0.00025064457,,,,,,,,,
42,2419,0.5324142,0.00025160162,,,,,,,,,
43,2429,0.5516287,0.00025255862,,,,,,,,,
44,2439,0.5269345,0.00025351567,,,,,,,,,
45,2449,0.54465175,0.00025447272,,,,,,,,,
